                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.60712,                0.41823,                0.93659,                0.99579,                0.99286,                  0.995,                0.87588,                0.56448,                0.25716,                0.89068,             0.00018385,             0.00018385,             0.00018385
                     78,                0.62344,                0.43646,                0.94376,                0.99289,                0.99274,                  0.995,                0.87172,                0.60223,                0.26864,                0.90076,             0.00017679,             0.00017679,             0.00017679
                     79,                0.60577,                0.42284,                0.94079,                0.99594,                0.99747,                  0.995,                0.87958,                0.57028,                0.26502,                0.89022,             0.00016972,             0.00016972,             0.00016972
                     80,                0.61869,                0.43188,                0.94004,                0.99347,                0.99296,                  0.995,                0.87355,                0.58626,                0.26828,                0.89316,             0.00016265,             0.00016265,             0.00016265
                     81,                0.61896,                0.43923,                0.93663,                0.99499,                0.99282,                  0.995,                 0.8702,                 0.5906,                0.27344,                0.89581,             0.00015558,             0.00015558,             0.00015558
                     82,                0.59838,                0.41818,                 0.9371,                0.99329,                0.98248,                  0.995,                0.87161,                0.59818,                0.28467,                0.90448,             0.00014851,             0.00014851,             0.00014851
                     83,                 0.5936,                 0.4199,                0.93464,                0.98539,                0.99218,                0.99484,                0.87688,                0.57899,                0.26922,                0.90046,             0.00014144,             0.00014144,             0.00014144
                     84,                0.58608,                0.41125,                0.93104,                0.99302,                0.98499,                  0.995,                0.88219,                0.54405,                0.26765,                0.88131,             0.00013437,             0.00013437,             0.00013437
                     85,                 0.5746,                0.40396,                0.92367,                0.98901,                0.99154,                0.99468,                0.87183,                0.58808,                0.28388,                0.90098,             0.00012731,             0.00012731,             0.00012731
                     86,                0.59681,                0.41785,                0.93459,                0.99467,                 0.9923,                  0.995,                0.88466,                0.56176,                0.26268,                0.88971,             0.00012024,             0.00012024,             0.00012024
