                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.74203,                 0.4755,                0.99562,                0.96836,                0.94959,                0.99071,                0.77091,                 0.8947,                0.38704,                 1.1527,             0.00017679,             0.00017679,             0.00017679
                     79,                0.73297,                0.47163,                0.98227,                0.98211,                0.95574,                0.99213,                0.78905,                0.84888,                0.36021,                  1.119,             0.00016972,             0.00016972,             0.00016972
                     80,                0.71953,                0.46112,                0.98388,                0.98981,                0.98303,                0.99296,                0.78084,                0.87597,                0.33598,                 1.1426,             0.00016265,             0.00016265,             0.00016265
                     81,                0.72306,                0.46781,                0.98866,                0.97704,                 0.9507,                0.99153,                0.78225,                0.87548,                0.37317,                 1.1348,             0.00015558,             0.00015558,             0.00015558
                     82,                 0.7041,                0.45682,                0.97483,                0.98453,                0.95737,                0.99256,                0.78076,                0.87515,                0.36083,                 1.1413,             0.00014851,             0.00014851,             0.00014851
                     83,                0.69894,                0.45153,                0.97725,                0.99159,                0.96897,                0.99348,                0.78882,                0.84478,                0.33878,                 1.1265,             0.00014144,             0.00014144,             0.00014144
                     84,                0.72686,                0.47418,                0.98698,                0.97214,                0.96901,                0.99187,                0.78871,                0.86078,                0.36138,                 1.1296,             0.00013437,             0.00013437,             0.00013437
                     85,                0.70888,                0.45588,                0.98292,                0.96552,                0.96251,                0.99303,                0.78625,                0.86138,                0.36752,                 1.1319,             0.00012731,             0.00012731,             0.00012731
                     86,                 0.6913,                0.44709,                0.97274,                0.98578,                0.98746,                0.99325,                0.79775,                0.82016,                0.32229,                 1.1066,             0.00012024,             0.00012024,             0.00012024
                     87,                0.69916,                0.45944,                0.97581,                0.98336,                0.97585,                0.99241,                  0.794,                0.83017,                0.33856,                 1.1182,             0.00011317,             0.00011317,             0.00011317
                     88,                 0.6864,                0.44776,                 0.9719,                0.96637,                0.96627,                0.99295,                0.77716,                0.87592,                0.36354,                 1.1478,              0.0001061,              0.0001061,              0.0001061
